Term,Course,Title,Section,CRN,Days,Times,Location,Status,Max,Now,Instructor,Delivery Mode,Credits,Info,Comments
202610,ARCH211,HISTORY OF ARCHITECTURE II,002,10070,TF,1:00 PM - 2:20 PM,WEST LECT 1,Closed,155,155,"Godel, Addison",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10070,
202610,ARCH211,HISTORY OF ARCHITECTURE II - HONORS,HM2,10071,TF,1:00 PM - 2:20 PM,WEST LECT 1,Open,15,7,"Godel, Addison",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10071,Honors Course
202610,ARCH224,CONSTRUCTION II,002,10072,MR,8:30 AM - 9:50 AM,TIER LECT 1,Open,105,68,"Garcia Figueroa, Julio",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10072,
202610,ARCH224,CONSTRUCTION II,004,10073,MR,10:00 AM - 11:20 AM,TIER LECT 1,Open,105,104,"Garcia Figueroa, Julio",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10073,
202610,ARCH296,ARCHITECTURE STUDIO IV,002,10074,MR,1:00 PM - 5:20 PM, ,Closed,0,0,"Hurtado de Mendoza, Maria",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10074,
202610,ARCH296,ARCHITECTURE STUDIO IV,004,10075,MR,1:00 PM - 5:20 PM, ,Closed,0,17,"Hurtado de Mendoza, Maria",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10075,
202610,ARCH296,ARCHITECTURE STUDIO IV,006,10076,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Keele, Angela",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10076,
202610,ARCH296,ARCHITECTURE STUDIO IV,008,10077,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Gotlib, Noah",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10077,
202610,ARCH296,ARCHITECTURE STUDIO IV,010,10078,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Ah-Siong, Shane",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10078,
202610,ARCH296,ARCHITECTURE STUDIO IV,012,10079,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Overholser, Winfred",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10079,
202610,ARCH296,ARCHITECTURE STUDIO IV,014,10080,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Pawlowska, Gosia",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10080,
202610,ARCH296,ARCHITECTURE STUDIO IV,016,10081,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Denes, Matei",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10081,
202610,ARCH296,ARCHITECTURE STUDIO IV,018,10082,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Bonomi Durer Bacchetti, Maria Aurora",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10082,
202610,ARCH296,ARCHITECTURE STUDIO IV,020,10083,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Ferraro, Matteo",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10083,
202610,ARCH296,ARCHITECTURE STUDIO IV,022,10084,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Morozov, Petia",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10084,
202610,ARCH296,ARCHITECTURE STUDIO IV,024,10085,MR,1:00 PM - 5:20 PM, ,Closed,0,16,"Sumrow, Emma",Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10085,
202610,ARCH296,ARCHITECTURE STUDIO IV,026,10086,MR,1:00 PM - 5:20 PM, ,Closed,0,0,,Face-to-Face,4,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10086,
202610,ARCH301,DIGITAL MODELING & FABRICATION,102,10087,M,6:00 PM - 8:50 PM,CKB 126,Closed,24,24,"Marchetto, Vincent",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10087,
202610,ARCH301,DIGITAL MODELING & FABRICATION,WVH,16451,,TBA, ,Closed,0,1,,Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16451,For Wayne Valley High School Students Only
202610,ARCH304,STRUCTURES II,002,10088,TF,10:00 AM - 11:20 AM,WEST LECT 1,Open,165,121,"Taher, Rima",Face-to-Face,3,https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=10088,
